Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
A North American Team,M,38.0,MEX,1900 Summer,1900,Polo,Polo Men's Polo,Bronze,35-39,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Afghanistan,M,21.0,AFG,2008 Summer,2008,Taekwondo,Taekwondo Men's Flyweight,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Algeria,M,26.0,ALG,2000 Summer,2000,Boxing,Boxing Men's Light-Welterweight,Bronze,25-29,5.0,4.0,8.0,17.0,31.0,0,Low Probability
Ali-Baba II,M,28.0,SWE,1948 Summer,1948,Sailing,Sailing Mixed 6 metres,Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Amateur Athletic Association,M,29.0,GBR,1900 Summer,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold,25-29,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Amstel Amsterdam,M,20.0,NED,1908 Summer,1908,Rowing,Rowing Men's Coxless Fours,Bronze,20-24,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Ancora,M,36.0,GBR,1920 Summer,1920,Sailing,Sailing Mixed 7 metres,Gold,35-39,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Angelita,M,20.0,USA,1932 Summer,1932,Sailing,Sailing Mixed 8 metres,Gold,20-24,12.0,0.0,0.0,12.0,36.0,0,Low Probability
Antwerpia V,M,37.0,BEL,1920 Summer,1920,Sailing,Sailing Mixed 8 metres,Bronze,35-39,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Aphrodite,M,33.0,USA,1964 Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Bronze,30-34,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Argentina,M,20.0,ARG,2008 Summer,2008,Football,Football Men's Football,Gold,20-24,91.0,84.0,91.0,266.0,532.0,0,Low Probability
Argonaut Rowing Club,M,25.0,CAN,1908 Summer,1908,Rowing,Rowing Men's Coxless Fours,Bronze,25-29,0.0,0.0,6.0,6.0,6.0,0,Low Probability
Armenia,M,20.0,ARM,2012 Summer,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,20-24,2.0,5.0,9.0,16.0,25.0,0,Low Probability
Aschenbrodel,M,25.556898357297374,GER,1900 Summer,1900,Sailing,Sailing Mixed Open,Silver,25-29,4.0,4.0,0.0,8.0,20.0,0,Low Probability
Atalanta Boat Club-1,M,27.0,USA,1904 Summer,1904,Rowing,Rowing Men's Double Sculls,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Atalanta Boat Club-2,M,27.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Pairs,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Atlanta,M,25.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 12 metres,Gold,25-29,9.0,0.0,0.0,9.0,27.0,0,Low Probability
Australasia,M,24.0,ANZ,1908 Summer,1908,Boxing,Boxing Men's Middleweight,Silver,20-24,20.0,4.0,5.0,29.0,73.0,0,Low Probability
Australia,M,21.0,AUS,2008 Summer,2008,Hockey,Hockey Men's Hockey,Bronze,20-24,342.0,453.0,511.0,1306.0,2443.0,2,High Probability
Australia-1,F,21.0,AUS,1996 Summer,1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,20-24,2.0,0.0,2.0,4.0,8.0,0,Low Probability
Australia/Great Britain,M,22.0,AUS,1896 Summer,1896,Tennis,Tennis Men's Doubles,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Austria,F,16.0,AUT,1912 Summer,1912,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,15-19,95.0,168.0,150.0,413.0,771.0,0,Low Probability
Austria-1,M,30.0,AUT,1992 Winter,1992,Bobsleigh,Bobsleigh Men's Four,Gold,30-34,12.0,16.0,4.0,32.0,72.0,0,Low Probability
Austria-2,F,21.0,AUT,1928 Winter,1928,Figure Skating,Figure Skating Mixed Pairs,Bronze,20-24,0.0,2.0,2.0,4.0,6.0,0,Low Probability
Azerbaijan,F,21.0,AZE,2016 Summer,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze,20-24,7.0,12.0,25.0,44.0,70.0,0,Low Probability
"BLO Polo Club, Rugby",M,27.0,GBR,1900 Summer,1900,Polo,Polo Men's Polo,Silver,25-29,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Baby-1,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0-0.5 Ton,Gold,25-29,1.0,0.0,1.0,2.0,4.0,0,Low Probability
"Bagatelle Polo Club, Paris",M,32.0,FRA,1900 Summer,1900,Polo,Polo Men's Polo,Bronze,30-34,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Bahamas,M,22.0,BAH,2008 Summer,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,20-24,12.0,11.0,13.0,36.0,71.0,0,Low Probability
Bahrain,F,27.0,BRN,2012 Summer,2012,Athletics,"Athletics Women's 1,500 metres",Bronze,25-29,1.0,1.0,1.0,3.0,6.0,0,Low Probability
Ballerina IV,M,52.0,SUI,1960 Summer,1960,Sailing,Sailing Mixed 5.5 metres,Bronze,50-54,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Barbados,M,24.0,BAR,2000 Summer,2000,Athletics,Athletics Men's 100 metres,Bronze,20-24,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Barion/Bari-2,M,25.556898357297374,ITA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Silver,25-29,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Barrenjoey,M,59.0,AUS,1964 Summer,1964,Sailing,Sailing Mixed 5.5 metres,Gold,55-59,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Beatrijs III-1,M,50.0,NED,1920 Summer,1920,Sailing,Sailing Mixed 12 foot,Gold,50-54,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Belarus,M,28.0,BLR,2008 Summer,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,25-29,24.0,44.0,71.0,139.0,231.0,0,Low Probability
Belgium,M,44.0,BEL,1920 Summer,1920,Archery,"Archery Men's Target Archery, 28 metres, Team",Silver,40-44,94.0,161.0,154.0,409.0,758.0,0,Low Probability
Belgium-1,M,25.556898357297374,BEL,1924 Winter,1924,Bobsleigh,Bobsleigh Men's Four/Five,Bronze,25-29,1.0,0.0,5.0,6.0,8.0,0,Low Probability
Bem II,M,49.0,NED,1936 Summer,1936,Sailing,Sailing Mixed Two Person Keelboat,Bronze,45-49,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Bera,M,21.0,NOR,1924 Summer,1924,Sailing,Sailing Mixed 8 metres,Gold,20-24,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Berliner Ruderclub,M,25.556898357297374,GER,1908 Summer,1908,Rowing,Rowing Men's Coxless Pairs,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Berliner Ruderverein von 1876-2,M,25.0,GER,1912 Summer,1912,Rowing,Rowing Men's Coxed Eights,Bronze,25-29,0.0,0.0,9.0,9.0,9.0,0,Low Probability
Bermuda,M,25.0,BER,1976 Summer,1976,Boxing,Boxing Men's Heavyweight,Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Bingo,M,26.0,USA,1964 Summer,1964,Sailing,Sailing Mixed 5.5 metres,Bronze,25-29,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Bissbi,M,20.0,SWE,1932 Summer,1932,Sailing,Sailing Mixed 6 metres,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Bluebottle,M,34.0,GBR,1956 Summer,1956,Sailing,Sailing Mixed Three Person Keelboat,Bronze,30-34,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Bohemia,M,38.0,BOH,1908 Summer,1908,Fencing,"Fencing Men's Sabre, Individual",Bronze,35-39,0.0,1.0,10.0,11.0,12.0,0,Low Probability
Bohemia/Great Britain,F,35.0,BOH,1900 Summer,1900,Tennis,Tennis Mixed Doubles,Bronze,35-39,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Bona Fide,M,50.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed 3-10 Ton,Gold,50-54,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Bonaparte,F,46.0,GER,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,45-49,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Bonzo,M,43.0,DEN,1924 Summer,1924,Sailing,Sailing Mixed 6 metres,Silver,40-44,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Boreas-2,M,20.0,NED,1920 Summer,1920,Sailing,Sailing Mixed 12 foot,Silver,20-24,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Boston Archers,M,26.0,USA,1904 Summer,1904,Archery,Archery Men's Team Round,Bronze,25-29,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Botswana,M,18.0,BOT,2012 Summer,2012,Athletics,Athletics Men's 800 metres,Silver,15-19,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Brazil,M,24.0,BRA,1984 Summer,1984,Football,Football Men's Football,Silver,20-24,103.0,161.0,185.0,449.0,816.0,0,Low Probability
Brazil-1,M,26.0,BRA,2012 Summer,2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,25-29,6.0,12.0,2.0,20.0,44.0,0,Low Probability
Brazil-2,M,35.0,BRA,2008 Summer,2008,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,35-39,0.0,2.0,4.0,6.0,8.0,0,Low Probability
Brussels Swimming and Water Polo Club,M,25.556898357297374,BEL,1900 Summer,1900,Water Polo,Water Polo Men's Water Polo,Silver,25-29,0.0,10.0,0.0,10.0,20.0,0,Low Probability
Brynhild-2,M,44.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed 20+ Ton,Silver,40-44,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Bucintoro Venezia,M,25.0,ITA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 mile),Gold,25-29,8.0,0.0,0.0,8.0,24.0,0,Low Probability
Bucintoro Venezia-1,M,25.0,ITA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Gold,25-29,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Bulgaria,M,29.0,BUL,1980 Summer,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,25-29,54.0,144.0,144.0,342.0,594.0,0,Low Probability
Buraddoo,M,39.0,AUS,1956 Summer,1956,Sailing,Sailing Mixed 5.5 metres,Bronze,35-39,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Burundi,M,22.0,BDI,1996 Summer,1996,Athletics,"Athletics Men's 5,000 metres",Gold,20-24,1.0,1.0,0.0,2.0,5.0,0,Low Probability
Cambridge University Boat Club-2,M,19.0,GBR,1908 Summer,1908,Rowing,Rowing Men's Coxed Eights,Bronze,15-19,0.0,0.0,9.0,9.0,9.0,0,Low Probability
Cameroon,M,22.0,CMR,2000 Summer,2000,Football,Football Men's Football,Gold,20-24,20.0,1.0,1.0,22.0,63.0,0,Low Probability
Camille,M,46.0,FRA,1908 Summer,1908,Motorboating,Motorboating Mixed A-Class (Open),Gold,45-49,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Canada,F,21.0,CAN,1984 Summer,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,20-24,422.0,413.0,408.0,1243.0,2500.0,2,High Probability
Canada-1,M,33.0,CAN,1964 Winter,1964,Bobsleigh,Bobsleigh Men's Four,Gold,30-34,16.0,8.0,12.0,36.0,76.0,0,Low Probability
Canada-2,F,29.0,CAN,2010 Winter,2010,Bobsleigh,Bobsleigh Women's Two,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Caprice,M,25.0,CAN,1932 Summer,1932,Sailing,Sailing Mixed 6 metres,Bronze,25-29,0.0,0.0,4.0,4.0,4.0,0,Low Probability
Carabinier-15,M,31.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Gold,30-34,1.0,0.0,0.0,1.0,3.0,0,Low Probability
"Central Turnverein, Chicago",M,29.0,USA,1904 Summer,1904,Gymnastics,Gymnastics Men's Team All-Around,Bronze,25-29,0.0,0.0,6.0,6.0,6.0,0,Low Probability
Century Boat Club-1,M,24.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Fours,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Cercle de l'Aviron Roubaix-4,M,30.0,FRA,1900 Summer,1900,Rowing,Rowing Men's Coxed Fours,Gold,30-34,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Chicago Athletic Association,M,25.556898357297374,FRA,1904 Summer,1904,Athletics,"Athletics Men's 4 mile, Team",Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Chicago Athletic Association-2,M,26.0,USA,1904 Summer,1904,Water Polo,Water Polo Men's Water Polo,Silver,25-29,0.0,11.0,0.0,11.0,22.0,0,Low Probability
Chile,F,23.0,CHI,1956 Summer,1956,Athletics,Athletics Women's Javelin Throw,Silver,20-24,3.0,9.0,20.0,32.0,47.0,0,Low Probability
China,M,19.0,CHN,1998 Winter,1998,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Silver,15-19,308.0,325.0,268.0,901.0,1842.0,2,High Probability
China-1,M,28.0,CHN,2008 Summer,2008,Badminton,Badminton Men's Doubles,Silver,25-29,28.0,14.0,10.0,52.0,122.0,0,Low Probability
China-2,F,19.0,CHN,1992 Summer,1992,Table Tennis,Table Tennis Women's Doubles,Gold,15-19,14.0,8.0,12.0,34.0,70.0,0,Low Probability
China-3,F,27.0,CHN,2006 Winter,2006,Figure Skating,Figure Skating Mixed Pairs,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Chinese Taipei,M,25.0,TPE,1992 Summer,1992,Baseball,Baseball Men's Baseball,Silver,25-29,3.0,28.0,18.0,49.0,83.0,0,Low Probability
Christian Brothers' College-1,M,17.0,USA,1904 Summer,1904,Football,Football Men's Football,Silver,15-19,0.0,11.0,0.0,11.0,22.0,0,Low Probability
Chuckles,M,36.0,GBR,1956 Summer,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,35-39,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Cicely-1,M,25.556898357297374,GBR,1900 Summer,1900,Sailing,Sailing Mixed 20+ Ton,Gold,25-29,1.0,0.0,0.0,1.0,3.0,0,Low Probability
Cincinnati Archers,M,25.556898357297374,USA,1904 Summer,1904,Archery,Archery Men's Team Round,Silver,25-29,4.0,4.0,0.0,8.0,20.0,0,Low Probability
Clearwater,F,46.0,DEN,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,45-49,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Club Nautique de Lyon-2,M,25.0,FRA,1900 Summer,1900,Rowing,Rowing Men's Coxed Fours,Silver,25-29,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Cobweb-1,M,26.0,GBR,1908 Summer,1908,Sailing,Sailing Mixed 8 metres,Gold,25-29,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Colombia,F,26.0,COL,2012 Summer,2012,Judo,Judo Women's Middleweight,Bronze,25-29,5.0,8.0,14.0,27.0,45.0,0,Low Probability
Comanche,M,32.0,USA,1952 Summer,1952,Sailing,Sailing Mixed Two Person Keelboat,Silver,30-34,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Complex II,M,38.0,USA,1952 Summer,1952,Sailing,Sailing Mixed 5.5 metres,Gold,35-39,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Cornwall,M,27.0,GBR,1908 Summer,1908,Rugby,Rugby Men's Rugby,Silver,25-29,0.0,15.0,0.0,15.0,30.0,0,Low Probability
Costa Rica,F,23.0,CRC,1996 Summer,1996,Swimming,Swimming Women's 200 metres Freestyle,Gold,20-24,1.0,1.0,2.0,4.0,7.0,0,Low Probability
Cote d'Ivoire,M,22.0,CIV,2016 Summer,2016,Taekwondo,Taekwondo Men's Welterweight,Gold,20-24,1.0,1.0,1.0,3.0,6.0,0,Low Probability
Crabe II-1,M,28.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Crabe II-4,M,28.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Croatia,M,25.0,CRO,1992 Summer,1992,Basketball,Basketball Men's Basketball,Silver,25-29,58.0,54.0,37.0,149.0,319.0,0,Low Probability
Cuba,M,23.0,CUB,2008 Summer,2008,Boxing,Boxing Men's Heavyweight,Bronze,20-24,164.0,127.0,116.0,407.0,862.0,0,Low Probability
Cyprus,M,22.0,CYP,2012 Summer,2012,Sailing,Sailing Men's One Person Dinghy,Silver,20-24,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Czech Republic,M,19.0,CZE,2004 Summer,2004,Athletics,Athletics Men's High Jump,Bronze,15-19,42.0,32.0,60.0,134.0,250.0,0,Low Probability
Czech Republic-1,F,25.0,CZE,2012 Summer,2012,Tennis,Tennis Women's Doubles,Silver,25-29,0.0,4.0,6.0,10.0,14.0,0,Low Probability
Czechoslovakia,M,25.0,TCH,1976 Summer,1976,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,25-29,81.0,223.0,182.0,486.0,871.0,0,Low Probability
Czechoslovakia-1,M,27.0,TCH,1992 Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Denmark,M,30.0,DEN,1920 Summer,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,30-34,168.0,223.0,162.0,553.0,1112.0,0,Low Probability
Denmark-1,M,33.0,DEN,2012 Summer,2012,Badminton,Badminton Mixed Doubles,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Denmark-2,M,34.0,DEN,2004 Summer,2004,Badminton,Badminton Mixed Doubles,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Denmark/Sweden,M,34.0,DEN,1900 Summer,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,30-34,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Deutscher Schwimm Verband Berlin,M,18.0,GER,1900 Summer,1900,Swimming,Swimming Men's 200 metres Team Swimming,Gold,15-19,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Devon and Somerset Wanderers,M,25.556898357297374,GBR,1900 Summer,1900,Cricket,Cricket Men's Cricket,Gold,25-29,12.0,0.0,0.0,12.0,36.0,0,Low Probability
Digby,F,33.0,DEN,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Djibouti,M,31.0,DJI,1988 Summer,1988,Athletics,Athletics Men's Marathon,Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Djinn,M,33.0,ARG,1948 Summer,1948,Sailing,Sailing Mixed 6 metres,Silver,30-34,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Dominican Republic,M,24.0,DOM,2008 Summer,2008,Boxing,Boxing Men's Light-Welterweight,Gold,20-24,3.0,2.0,2.0,7.0,15.0,0,Low Probability
Don Schufro,M,30.0,DEN,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Dormy-1,M,35.0,GBR,1908 Summer,1908,Sailing,Sailing Mixed 6 metres,Gold,35-39,3.0,0.0,0.0,3.0,9.0,0,Low Probability
East Germany,F,19.0,GDR,1972 Summer,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver,15-19,369.0,309.0,263.0,941.0,1988.0,2,High Probability
East Germany-1,M,23.0,GDR,1972 Summer,1972,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,20-24,24.0,10.0,8.0,42.0,100.0,0,Low Probability
East Germany-2,M,20.0,GDR,1988 Winter,1988,Luge,Luge Mixed (Men)'s Doubles,Silver,20-24,4.0,8.0,10.0,22.0,38.0,0,Low Probability
Ecuador,M,22.0,ECU,1996 Summer,1996,Athletics,Athletics Men's 20 kilometres Walk,Gold,20-24,1.0,1.0,0.0,2.0,5.0,0,Low Probability
Edelweiss II-1,M,31.0,BEL,1920 Summer,1920,Sailing,Sailing Mixed 6 metres,Gold,30-34,3.0,0.0,0.0,3.0,9.0,0,Low Probability
