Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
Scamasaxe-2,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Scamasaxe-3,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 0.5-1 Ton,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Scotia,M,29.0,GBR,1900 Summer,1900,Sailing,Sailing Mixed Open,Gold,25-29,6.0,0.0,0.0,6.0,18.0,0,Low Probability
Scotland-3,M,24.0,GBR,1908 Summer,1908,Hockey,Hockey Men's Hockey,Bronze,20-24,0.0,0.0,11.0,11.0,11.0,0,Low Probability
Seawanhaka Boat Club-1,M,27.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Pairs,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Senegal,M,29.0,SEN,1988 Summer,1988,Athletics,Athletics Men's 400 metres Hurdles,Silver,25-29,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Serbia,M,26.0,SRB,2012 Summer,2012,Water Polo,Water Polo Men's Water Polo,Bronze,25-29,15.0,29.0,41.0,85.0,144.0,0,Low Probability
Serbia and Montenegro,M,26.0,SCG,1996 Summer,1996,Volleyball,Volleyball Men's Volleyball,Bronze,25-29,12.0,26.0,26.0,64.0,114.0,0,Low Probability
Shrew II,M,52.0,USA,1960 Summer,1960,Sailing,Sailing Mixed Two Person Keelboat,Bronze,50-54,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Sif,M,23.0,SWE,1920 Summer,1920,Sailing,Sailing Mixed 40 metres,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Sildra-1,M,32.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 8 metres,Gold,30-34,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Silja,M,37.0,NOR,1936 Summer,1936,Sailing,Sailing Mixed 8 metres,Silver,35-39,0.0,6.0,0.0,6.0,12.0,0,Low Probability
Singapore,F,21.0,SGP,2008 Summer,2008,Table Tennis,Table Tennis Women's Team,Silver,20-24,1.0,4.0,4.0,9.0,15.0,0,Low Probability
Sirene,M,21.0,NOR,1960 Summer,1960,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,20-24,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Skum,M,22.0,DEN,1960 Summer,1960,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,20-24,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Slaghoken,M,42.0,SWE,1948 Summer,1948,Sailing,Sailing Mixed Three Person Keelboat,Silver,40-44,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Slaghoken II,M,50.0,SWE,1956 Summer,1956,Sailing,Sailing Mixed Three Person Keelboat,Gold,50-54,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Slovakia,M,27.0,SVK,2004 Summer,2004,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,25-29,15.0,19.0,13.0,47.0,96.0,0,Low Probability
Slovenia,F,26.0,SLO,1996 Summer,1996,Athletics,Athletics Women's 100 metres Hurdles,Silver,25-29,8.0,13.0,27.0,48.0,77.0,0,Low Probability
Smyrna,M,25.556898357297374,GBR,1906 Summer,1906,Football,Football Men's Football,Silver,25-29,0.0,11.0,0.0,11.0,22.0,0,Low Probability
Snap,M,23.0,DEN,1948 Summer,1948,Sailing,Sailing Mixed Three Person Keelboat,Bronze,20-24,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Societ Nautique de la Marne-1,M,25.556898357297374,FRA,1900 Summer,1900,Rowing,Rowing Men's Coxed Pairs,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Socit Nautique de Bayonne-1,M,35.0,FRA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 mile),Bronze,35-39,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Socit Nautique de Bayonne-2,M,35.0,FRA,1906 Summer,1906,Rowing,Rowing Men's Coxed Fours,Bronze,35-39,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Socit Nautique de la Basse Seine-1,M,24.0,FRA,1906 Summer,1906,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Bronze,20-24,0.0,5.0,3.0,8.0,13.0,0,Low Probability
Sorais-2,M,25.556898357297374,GBR,1908 Summer,1908,Sailing,Sailing Mixed 8 metres,Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
South Africa,F,17.0,RSA,1956 Summer,1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,15-19,32.0,47.0,52.0,131.0,242.0,0,Low Probability
South Korea,M,22.0,KOR,2016 Summer,2016,Judo,Judo Men's Half-Lightweight,Silver,20-24,211.0,222.0,159.0,592.0,1236.0,0,Low Probability
South Korea-1,M,22.0,KOR,1992 Summer,1992,Table Tennis,Table Tennis Men's Doubles,Bronze,20-24,6.0,6.0,18.0,30.0,48.0,0,Low Probability
South Korea-2,M,23.0,KOR,1988 Summer,1988,Table Tennis,Table Tennis Men's Doubles,Bronze,20-24,4.0,4.0,8.0,16.0,28.0,0,Low Probability
Soviet Union,M,26.0,URS,1972 Summer,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,25-29,1058.0,716.0,677.0,2451.0,5283.0,2,High Probability
Soviet Union-1,M,21.0,URS,1984 Winter,1984,Luge,Luge Mixed (Men)'s Doubles,Silver,20-24,22.0,4.0,0.0,26.0,74.0,0,Low Probability
Soviet Union-2,M,26.0,URS,1984 Winter,1984,Bobsleigh,Bobsleigh Men's Two,Bronze,25-29,0.0,12.0,12.0,24.0,36.0,0,Low Probability
Spain,M,30.0,ESP,2008 Summer,2008,Fencing,"Fencing Men's epee, Individual",Bronze,30-34,108.0,239.0,136.0,483.0,938.0,0,Low Probability
Spain-1,F,26.0,ESP,2008 Summer,2008,Tennis,Tennis Women's Doubles,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Spain-2,M,34.0,ESP,2016 Summer,2016,Tennis,Tennis Men's Doubles,Gold,30-34,2.0,2.0,0.0,4.0,10.0,0,Low Probability
Sri Lanka,F,24.0,SRI,2000 Summer,2000,Athletics,Athletics Women's 200 metres,Silver,20-24,0.0,2.0,0.0,2.0,4.0,0,Low Probability
St. Louis Amateur Athletic Association,M,25.556898357297374,USA,1904 Summer,1904,Lacrosse,Lacrosse Men's Lacrosse,Silver,25-29,0.0,12.0,0.0,12.0,24.0,0,Low Probability
St. Louis Southwest Turnverein #1-2,M,25.556898357297374,USA,1904 Summer,1904,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
St. Louis Southwest Turnverein #2-3,M,22.0,USA,1904 Summer,1904,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze,20-24,0.0,0.0,5.0,5.0,5.0,0,Low Probability
St. Rose-2,M,25.556898357297374,USA,1904 Summer,1904,Football,Football Men's Football,Bronze,25-29,0.0,0.0,12.0,12.0,12.0,0,Low Probability
Starita,M,40.0,NED,1948 Summer,1948,Sailing,Sailing Mixed Two Person Keelboat,Bronze,40-44,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Stella-2,M,47.0,NOR,1920 Summer,1920,Sailing,Sailing Mixed 6 metres,Bronze,45-49,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Sudan,M,23.0,SUD,2008 Summer,2008,Athletics,Athletics Men's 800 metres,Silver,20-24,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Sunrise,F,31.0,NED,2008 Summer,2008,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,30-34,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Sunshine,M,34.0,SWE,1936 Summer,1936,Sailing,Sailing Mixed Two Person Keelboat,Silver,30-34,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Suriname,M,20.0,SUR,1988 Summer,1988,Swimming,Swimming Men's 100 metres Butterfly,Gold,20-24,1.0,0.0,1.0,2.0,4.0,0,Low Probability
Sweden,M,19.0,SWE,1912 Summer,1912,Athletics,Athletics Men's Long Jump,Bronze,15-19,451.0,476.0,507.0,1434.0,2812.0,2,High Probability
Sweden-1,F,25.0,SWE,1912 Summer,1912,Tennis,Tennis Mixed Doubles,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Sweden-2,M,34.0,SWE,2008 Summer,2008,Tennis,Tennis Men's Doubles,Silver,30-34,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Sweden-3,F,25.0,SWE,1912 Summer,1912,Tennis,"Tennis Mixed Doubles, Covered Courts",Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Swedish Star,M,40.0,SWE,1932 Summer,1932,Sailing,Sailing Mixed Two Person Keelboat,Bronze,40-44,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Swift,M,26.0,GBR,1948 Summer,1948,Sailing,Sailing Mixed Two Person Keelboat,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Switzerland,M,22.0,SUI,1924 Summer,1924,Football,Football Men's Football,Silver,20-24,144.0,213.0,231.0,588.0,1089.0,0,Low Probability
Switzerland-1,M,26.0,SUI,1992 Winter,1992,Bobsleigh,Bobsleigh Men's Two,Gold,25-29,20.0,22.0,30.0,72.0,134.0,0,Low Probability
Switzerland-2,M,24.0,SUI,1994 Winter,1994,Bobsleigh,Bobsleigh Men's Two,Silver,20-24,8.0,10.0,4.0,22.0,48.0,0,Low Probability
Sylvia,M,28.0,SWE,1928 Summer,1928,Sailing,Sailing Mixed 8 metres,Bronze,25-29,0.0,0.0,6.0,6.0,6.0,0,Low Probability
Symphony,M,27.0,POR,1948 Summer,1948,Sailing,Sailing Mixed Two Person Keelboat,Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Syria,M,22.0,SYR,2004 Summer,2004,Boxing,Boxing Men's Heavyweight,Bronze,20-24,1.0,1.0,1.0,3.0,6.0,0,Low Probability
Taifun,M,25.0,NOR,1912 Summer,1912,Sailing,Sailing Mixed 8 metres,Gold,25-29,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Tajikistan,M,30.0,TJK,2008 Summer,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,30-34,1.0,1.0,2.0,4.0,7.0,0,Low Probability
Tan-Fe-Pah,M,43.0,BEL,1920 Summer,1920,Sailing,Sailing Mixed 6 metres,Silver,40-44,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Tango,M,45.0,ARG,1960 Summer,1960,Sailing,Sailing Mixed Three Person Keelboat,Silver,45-49,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Tanzania,M,27.0,TAN,1980 Summer,1980,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,25-29,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Thailand,M,24.0,THA,2004 Summer,2004,Boxing,Boxing Men's Light-Welterweight,Gold,20-24,9.0,8.0,13.0,30.0,56.0,0,Low Probability
Thames Rowing Club,M,43.0,GBR,1912 Summer,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Silver,40-44,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Thessalonki-1,M,25.556898357297374,GRE,1906 Summer,1906,Football,Football Men's Football,Bronze,25-29,0.0,0.0,11.0,11.0,11.0,0,Low Probability
Tip,M,26.0,DEN,1956 Summer,1956,Sailing,Sailing Mixed Three Person Keelboat,Silver,25-29,0.0,3.0,0.0,3.0,6.0,0,Low Probability
Togo,M,27.0,TOG,2008 Summer,2008,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze,25-29,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Tonga,M,26.0,TGA,1996 Summer,1996,Boxing,Boxing Men's Super-Heavyweight,Silver,25-29,0.0,1.0,0.0,1.0,2.0,0,Low Probability
Tornado,M,39.0,SWE,1952 Summer,1952,Sailing,Sailing Mixed Three Person Keelboat,Silver,35-39,2.0,3.0,0.0,5.0,12.0,0,Low Probability
Toronto Argonauts,M,25.556898357297374,CAN,1904 Summer,1904,Rowing,Rowing Men's Coxed Eights,Silver,25-29,0.0,9.0,9.0,18.0,27.0,0,Low Probability
Trans-Mississippi Golf Association-2,M,38.0,USA,1904 Summer,1904,Golf,Golf Men's Team,Silver,35-39,0.0,10.0,0.0,10.0,20.0,0,Low Probability
Trinidad and Tobago,M,23.0,TTO,2012 Summer,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,20-24,7.0,8.0,17.0,32.0,54.0,0,Low Probability
Tritons Lillois-2,M,25.556898357297374,FRA,1900 Summer,1900,Swimming,Swimming Men's 200 metres Team Swimming,Silver,25-29,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Tunisia,F,27.0,TUN,2016 Summer,2016,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze,25-29,3.0,3.0,7.0,13.0,22.0,0,Low Probability
Turkey,F,25.0,TUR,2008 Summer,2008,Athletics,"Athletics Women's 5,000 metres",Silver,25-29,40.0,27.0,28.0,95.0,202.0,0,Low Probability
Turquoise-1,M,32.0,FRA,1900 Summer,1900,Sailing,Sailing Mixed Open,Bronze,30-34,0.0,0.0,1.0,1.0,1.0,0,Low Probability
Tutti V,M,29.0,EST,1928 Summer,1928,Sailing,Sailing Mixed 6 metres,Bronze,25-29,0.0,0.0,5.0,5.0,5.0,0,Low Probability
USFSA,M,18.0,FRA,1900 Summer,1900,Football,Football Men's Football,Silver,15-19,0.0,13.0,0.0,13.0,26.0,0,Low Probability
Uganda,M,22.0,UGA,1972 Summer,1972,Athletics,Athletics Men's 400 metres Hurdles,Gold,20-24,2.0,3.0,2.0,7.0,14.0,0,Low Probability
Ukraine,M,35.0,UKR,2008 Summer,2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,35-39,47.0,52.0,98.0,197.0,343.0,0,Low Probability
Ukraine-1,M,33.0,UKR,2006 Winter,2006,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Unified Team,M,26.0,EUN,1992 Summer,1992,Athletics,Athletics Men's Hammer Throw,Gold,25-29,123.0,69.0,79.0,271.0,586.0,0,Low Probability
Unified Team-1,M,24.0,EUN,1992 Winter,1992,Figure Skating,Figure Skating Mixed Pairs,Gold,20-24,4.0,0.0,0.0,4.0,12.0,0,Low Probability
Unified Team-2,F,26.0,EUN,1992 Winter,1992,Figure Skating,Figure Skating Mixed Pairs,Silver,25-29,0.0,2.0,2.0,4.0,6.0,0,Low Probability
Union des Socits Franais de Sports Athletiques,M,20.0,FRA,1900 Summer,1900,Rugby,Rugby Men's Rugby,Gold,20-24,17.0,12.0,0.0,29.0,75.0,0,Low Probability
United Arab Emirates,M,40.0,UAE,2004 Summer,2004,Shooting,Shooting Men's Double Trap,Gold,40-44,1.0,0.0,1.0,2.0,4.0,0,Low Probability
United Arab Republic,M,24.0,UAR,1960 Summer,1960,Boxing,Boxing Men's Flyweight,Bronze,20-24,0.0,1.0,1.0,2.0,3.0,0,Low Probability
United States,M,26.0,USA,2004 Summer,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,25-29,2474.0,1512.0,1233.0,5219.0,11679.0,1,Medium Probability
United States Golf Association-3,M,20.0,USA,1904 Summer,1904,Golf,Golf Men's Team,Bronze,20-24,0.0,0.0,10.0,10.0,10.0,0,Low Probability
United States Virgin Islands,M,27.0,ISV,1988 Summer,1988,Sailing,Sailing Mixed One Person Dinghy,Silver,25-29,0.0,1.0,0.0,1.0,2.0,0,Low Probability
United States-1,M,24.0,USA,2006 Winter,2006,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,20-24,38.0,33.0,30.0,101.0,210.0,0,Low Probability
United States-2,F,25.0,USA,2002 Winter,2002,Bobsleigh,Bobsleigh Women's Two,Gold,25-29,17.0,14.0,20.0,51.0,99.0,0,Low Probability
United States-3,M,27.0,USA,1904 Summer,1904,Tennis,Tennis Men's Doubles,Bronze,25-29,0.0,0.0,2.0,2.0,2.0,0,Low Probability
United States-4,M,22.0,USA,1904 Summer,1904,Tennis,Tennis Men's Doubles,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
United States/France,M,40.0,USA,1900 Summer,1900,Tennis,Tennis Men's Doubles,Silver,40-44,0.0,2.0,0.0,2.0,4.0,0,Low Probability
United States/Great Britain,M,24.0,GBR,1900 Summer,1900,Tennis,Tennis Mixed Doubles,Bronze,20-24,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Univ. of Brussels,M,25.556898357297374,BEL,1900 Summer,1900,Football,Football Men's Football,Bronze,25-29,0.0,0.0,11.0,11.0,11.0,0,Low Probability
Upton Park FC,M,24.0,GBR,1900 Summer,1900,Football,Football Men's Football,Gold,20-24,11.0,0.0,0.0,11.0,33.0,0,Low Probability
Uruguay,M,27.0,URU,1952 Summer,1952,Basketball,Basketball Men's Basketball,Bronze,25-29,31.0,2.0,30.0,63.0,127.0,0,Low Probability
Uzbekistan,M,26.0,UZB,2000 Summer,2000,Boxing,Boxing Men's Light-Welterweight,Gold,25-29,10.0,7.0,17.0,34.0,61.0,0,Low Probability
Venezuela,M,20.0,VEN,1984 Summer,1984,Boxing,Boxing Men's Light-Flyweight,Bronze,20-24,2.0,3.0,10.0,15.0,22.0,0,Low Probability
Venilia,M,27.0,ITA,1960 Summer,1960,Sailing,Sailing Mixed Three Person Keelboat,Bronze,25-29,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Vesper Boat Club,M,15.0,USA,1900 Summer,1900,Rowing,Rowing Men's Coxed Eights,Gold,15-19,18.0,0.0,0.0,18.0,54.0,0,Low Probability
Vietnam,M,23.0,VIE,2008 Summer,2008,Weightlifting,Weightlifting Men's Bantamweight,Silver,20-24,1.0,3.0,0.0,4.0,9.0,0,Low Probability
Vinga-1,M,43.0,SWE,1908 Summer,1908,Sailing,Sailing Mixed 8 metres,Silver,40-44,0.0,5.0,0.0,5.0,10.0,0,Low Probability
Vision,M,34.0,GBR,1956 Summer,1956,Sailing,Sailing Mixed 5.5 metres,Silver,30-34,0.0,4.0,0.0,4.0,8.0,0,Low Probability
Wales-4,M,25.556898357297374,GBR,1908 Summer,1908,Hockey,Hockey Men's Hockey,Bronze,25-29,0.0,0.0,11.0,11.0,11.0,0,Low Probability
Wannsee,M,32.0,GER,1936 Summer,1936,Sailing,Sailing Mixed Two Person Keelboat,Gold,30-34,2.0,0.0,0.0,2.0,6.0,0,Low Probability
Web II,M,48.0,DEN,1960 Summer,1960,Sailing,Sailing Mixed 5.5 metres,Silver,45-49,0.0,3.0,0.0,3.0,6.0,0,Low Probability
West Germany,M,20.0,FRG,1984 Summer,1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,20-24,155.0,184.0,219.0,558.0,1052.0,0,Low Probability
West Germany-1,M,26.0,FRG,1968 Winter,1968,Bobsleigh,Bobsleigh Men's Two,Silver,25-29,2.0,10.0,14.0,26.0,40.0,0,Low Probability
West Germany-2,M,25.0,FRG,1972 Winter,1972,Bobsleigh,Bobsleigh Men's Two,Gold,25-29,2.0,0.0,0.0,2.0,6.0,0,Low Probability
West Indies Federation,M,30.0,WIF,1960 Summer,1960,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,30-34,0.0,0.0,5.0,5.0,5.0,0,Low Probability
Western Golf Association-1,M,17.0,USA,1904 Summer,1904,Golf,Golf Men's Team,Gold,15-19,10.0,0.0,0.0,10.0,30.0,0,Low Probability
Western Rowing Club-3,M,33.0,USA,1904 Summer,1904,Rowing,Rowing Men's Coxless Pairs,Bronze,30-34,0.0,0.0,6.0,6.0,6.0,0,Low Probability
White Lady,M,49.0,DEN,1964 Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Gold,45-49,3.0,0.0,0.0,3.0,9.0,0,Low Probability
Widgeon,M,34.0,USA,1964 Summer,1964,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze,30-34,0.0,0.0,2.0,2.0,2.0,0,Low Probability
Willem-Six,M,27.0,NED,1924 Summer,1924,Sailing,Sailing Mixed 6 metres,Bronze,25-29,0.0,0.0,3.0,3.0,3.0,0,Low Probability
Winnipeg Shamrocks-1,M,22.0,CAN,1904 Summer,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold,20-24,12.0,0.0,0.0,12.0,36.0,0,Low Probability
Yugoslavia,F,19.0,YUG,1980 Summer,1980,Handball,Handball Women's Handball,Silver,15-19,130.0,167.0,93.0,390.0,817.0,0,Low Probability
Zambia,M,27.0,ZAM,1996 Summer,1996,Athletics,Athletics Men's 400 metres Hurdles,Silver,25-29,0.0,1.0,1.0,2.0,3.0,0,Low Probability
Zimbabwe,F,30.0,ZIM,1980 Summer,1980,Hockey,Hockey Women's Hockey,Gold,30-34,17.0,4.0,1.0,22.0,60.0,0,Low Probability
Zut,M,31.0,BEL,1908 Summer,1908,Sailing,Sailing Mixed 6 metres,Silver,30-34,0.0,3.0,0.0,3.0,6.0,0,Low Probability
